ID,SampleWeight,phosphoricacid,glycericacid,Lserine,Lalanine,Lthreonine,Betaalanine,Dmalicacid,asparticacid,Lglutamicacid,transaconiticacid,glycerol1phosphate,shikimicacid,citricacid,quinicacid,fructose,Dglucose,tyrosine,galactonicacid,mucicacid,myoinositol,caffeicacid,Dglucose6phosphate,Sucrose,loganin,chlorogenicacid,Raffinose
CML_154Q,25.6,0.0651753,0.01635036,0.011112638,0.002283774,0.003688901,0.000507636,0.07766126,0.031862119,0.007128107,0.322498112,0.009549684,0.783003446,0.019012211,0.91628915,0.07485101,0.66563467,0.002638295,0.001459307,0.011112638,0.26943231,1.17E-03,0.001697224,1.31231023,2.11E-03,0.004181226,1.05E-03
CML_218,24.1,0.06195726,0.009634577,0.023605674,0.004961258,2.82E-03,2.04E-03,0.04054689,0.040648108,0.002547814,0.2315547,0.001636883,0.582002798,0.007226369,0.69264949,1.852072507,1.21884294,0.008268181,0.002387267,0.005106099,0.15127211,0.003781585,0.002788635,10.0573764,2.67E-03,0.013906529,0.002820047
CML_228,24.9,0.18516279,0.007425051,0.000831574,0.000840977,0.002916552,0.001022338,0.08781362,0.06221755,0.012135062,0.30338386,0.010553863,0.02560279,0.009066703,0.30006502,0.088402036,0.97417555,0.001759873,0.001261466,0.005122439,0.2674926,2.83E-03,0.003307486,0.39017418,0.001500594,0.028825641,0.005489191
CML_322,28.45,0.197189846,0.02079948,0.04325,0.0433,0.00949,0.011848884,0.3325,0.3688,0.046,0.674085592,0.006971058,0.050595,0.05065,0.30095,1.2465,0.5995,0.010335,0.00382,0.016081816,1.200713294,0.01141254,0.0068,2.726561619,0.0009415,0.337,0.08748457
CML_323,20.5,0.14224832,0.00688495,0.007474707,0.000708376,0.002699849,0.001717479,0.02949285,0.09074067,0.01681224,0.1174563,4.92E-03,0.039207962,0.009541361,0.43055748,0.23527116,1.74440178,0.022803369,0.004706359,0.005578464,0.09300781,3.10E-03,0.006676113,1.4224133,0.000730095,0.005027133,0.006251755
CML_395,28.8,0.066805152,0.007907554,5.05E-03,5.07E-03,1.82E-04,0.000308405,1.79E-01,5.14E-02,3.53E-03,0.091447042,0.001539444,2.05E-02,1.71E-02,6.68E-02,7.85E-01,9.91E-01,1.41E-03,2.31E-02,0.005917761,0.145309045,0.002136898,3.25E-03,0.201379709,1.22E-03,9.48E-04,0.002660799
CML_91,25.9,0.03131154,0.005060174,0.006967259,0.013817229,0.002744862,0.002162988,0.04314095,0.09396813,1.24E-03,0.4281028,0.009469928,0.016492023,0.02274641,0.06848447,0.48257789,0.4615634,0.003905565,0.000944403,0.008764672,0.71325449,5.90E-03,0.001916225,0.08589671,0.004350348,0.134172288,0.011709078
CO158,22.9,0.06798157,0.006502074,0.020549416,0.004315965,3.55E-03,1.42E-03,0.10412778,0.028616283,0.01460985,0.2668274,0.002740945,0.013645917,0.011697596,0.03309844,0.502012242,0.33928654,0.004272499,0.001191493,0.000698021,0.4281627,0.005540697,0.003681866,1.35152481,5.91E-03,0.011720608,0.003768799
CO192,27.4,0.20694632,0.012590943,0.0162737,0.018029146,0.001032552,0.00766386,0.16391057,0.125639876,0.01560022,0.23374993,3.05E-02,0.009798193,0.007930468,0.023860632,0.42472338,0.32981407,0.007683009,0.001140078,6.06E-03,0.56637738,0.001365443,0.00495065,0.30078953,0.00997053,0.022481933,2.01E-03
CO245,21.8,0.119665417,0.019920246,0.011372613,0.002763914,0.003370202,0.003309137,0.0784655,0.27584038,0.008399333,0.283948896,0.00344726,0.025943864,0.017390414,0.14089274,0.018246777,0.35299153,0.001090445,0.007355414,0.008672671,0.22223557,6.40E-04,0.00240334,0.18566464,4.42E-03,0.014982712,1.06E-03
